REP_PERIOD,FUND_TYP,COD_BUDGET,COD_FINA,NAME_FIN,ZAT_AMT,FAKT_AMT,CITY
2021-01-31,S,2.4552e+10,602300,Інші розрахунки,0,19140961.78,Chernivtsi
2021-01-31,C,2.4552e+10,602304,Інші розрахунки,0,-6671.03,Chernivtsi
2021-01-31,T,2.4552e+10,401000,Запозичення,65550000,0,Chernivtsi
2021-01-31,C,2.4552e+10,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-131000000,-131000000,Chernivtsi
2021-01-31,S,2.4552e+10,402000,Погашення,-37833300,0,Chernivtsi
2021-01-31,T,2.4552e+10,402000,Погашення,-37833300,0,Chernivtsi
2021-01-31,S,2.4552e+10,600000,Фінансування за активними операціями,168437200,2535584.07,Chernivtsi
2021-01-31,T,2.4552e+10,601110,Повернення бюджетних коштів з депозитів,185023799,36139470,Chernivtsi
2021-01-31,C,2.4552e+10,602000,Зміни обсягів бюджетних коштів,-168080200,32088579.67,Chernivtsi
2021-01-31,C,2.4552e+10,602100,На початок періоду,357000,286239611.18,Chernivtsi
2021-01-31,S,2.4552e+10,602200,На кінець періоду,0,20236492.86,Chernivtsi
2021-01-31,T,2.4552e+10,602300,Інші розрахунки,0,19134290.75,Chernivtsi
2021-01-31,T,2.4552e+10,600000,Фінансування за активними операціями,357000,-60260836.26,Chernivtsi
2021-01-31,S,2.4552e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-53999329,Chernivtsi
2021-01-31,S,2.4552e+10,602100,На початок періоду,0,50334095.46,Chernivtsi
2021-01-31,T,2.4552e+10,602100,На початок періоду,357000,336573706.64,Chernivtsi
2021-01-31,C,2.4552e+10,601110,Повернення бюджетних коштів з депозитів,131000000,36115000,Chernivtsi
2021-01-31,T,2.4552e+10,400000,Фінансування за борговими операціями,27716700,0,Chernivtsi
2021-01-31,S,2.4552e+10,401000,Запозичення,65550000,0,Chernivtsi
2021-01-31,T,2.4552e+10,401200,Зовнішні запозичення,65550000,0,Chernivtsi
2021-01-31,T,2.4552e+10,401201,Довгострокові зобов'язання,65550000,0,Chernivtsi
2021-01-31,T,2.4552e+10,402201,Довгострокові зобов'язання,-37833300,0,Chernivtsi
2021-01-31,C,2.4552e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-94885000,Chernivtsi
2021-01-31,T,2.4552e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-148884329,Chernivtsi
2021-01-31,S,2.4552e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",54023799,24470,Chernivtsi
